source,strain_index,cell_length,CN_C,CN_A,C6_C,C6_A,Edis,material_id,formula,space_group_symbol
IrO2_2723_POSCAR,-5,2.3825296800,16.6820,4.1854,305.5258,10.3708,-1.1733299832829E-01,mp-2723,IrO2,P4_2/mnm
IrO2_2723_POSCAR,-4,2.5413649920,13.9772,3.5496,305.5258,10.3708,-9.5645388886061E-02,mp-2723,IrO2,P4_2/mnm
IrO2_2723_POSCAR,-3,2.7002003040,11.3866,3.2651,305.5258,10.3708,-8.0042230804082E-02,mp-2723,IrO2,P4_2/mnm
IrO2_2723_POSCAR,-2,2.8590356160,9.2867,3.1186,305.5258,10.3708,-6.8189540846503E-02,mp-2723,IrO2,P4_2/mnm
IrO2_2723_POSCAR,-1,3.0178709280,7.7852,3.0047,305.5258,10.3708,-5.9197079966328E-02,mp-2723,IrO2,P4_2/mnm
IrO2_2723_POSCAR,0,3.1767062400,6.6921,2.8505,305.5258,10.3708,-5.2524663378112E-02,mp-2723,IrO2,P4_2/mnm
IrO2_2723_POSCAR,1,3.3355415520,5.7289,2.5899,305.5258,10.3712,-4.7111960320858E-02,mp-2723,IrO2,P4_2/mnm
IrO2_2723_POSCAR,2,3.4943768640,4.6808,2.1853,305.5258,10.3797,-4.1928355378944E-02,mp-2723,IrO2,P4_2/mnm
IrO2_2723_POSCAR,3,3.6532121760,3.5351,1.6771,305.5298,10.7940,-3.7041553456203E-02,mp-2723,IrO2,P4_2/mnm
IrO2_2723_POSCAR,4,3.8120474880,2.4589,1.1748,332.3175,12.6320,-3.5363358159027E-02,mp-2723,IrO2,P4_2/mnm
IrO2_2723_POSCAR,5,3.9708828000,1.6108,0.7712,378.4168,13.0647,-3.3445272370728E-02,mp-2723,IrO2,P4_2/mnm
IrO2_2723_POSCAR,6,4.1297181120,1.0247,0.4902,412.3862,14.1502,-3.1021818514813E-02,mp-2723,IrO2,P4_2/mnm
IrO2_2723_POSCAR,7,4.2885534240,0.6490,0.3097,563.0259,14.9819,-3.3895086902987E-02,mp-2723,IrO2,P4_2/mnm
IrO2_2723_POSCAR,8,4.4473887360,0.4155,0.1977,565.9711,15.2629,-2.9725248719457E-02,mp-2723,IrO2,P4_2/mnm
IrO2_2723_POSCAR,9,4.6062240480,0.2712,0.1285,566.0550,15.3600,-2.6339174734159E-02,mp-2723,IrO2,P4_2/mnm
IrO2_2723_POSCAR,10,4.7650593600,0.1810,0.0854,566.0631,15.4007,-2.3750090483020E-02,mp-2723,IrO2,P4_2/mnm
IrO2_2723_POSCAR,11,4.9238946720,0.1236,0.0581,566.0648,15.4205,-2.1739889651990E-02,mp-2723,IrO2,P4_2/mnm
IrO2_2723_POSCAR,12,5.0827299840,0.0863,0.0404,566.0653,15.4314,-2.0050345253792E-02,mp-2723,IrO2,P4_2/mnm
IrO2_2723_POSCAR,13,5.2415652960,0.0616,0.0287,566.0655,15.4378,-1.8456012540547E-02,mp-2723,IrO2,P4_2/mnm
IrO2_2723_POSCAR,14,5.4004006080,0.0449,0.0208,566.0656,15.4419,-1.6832780755927E-02,mp-2723,IrO2,P4_2/mnm
IrO2_2723_POSCAR,15,5.5592359200,0.0333,0.0154,566.0657,15.4445,-1.5177680443443E-02,mp-2723,IrO2,P4_2/mnm
IrO2_2723_POSCAR,16,5.7180712320,0.0252,0.0116,566.0657,15.4463,-1.3561444356552E-02,mp-2723,IrO2,P4_2/mnm
IrO2_2723_POSCAR,17,5.8769065440,0.0193,0.0089,566.0657,15.4475,-1.2065010748557E-02,mp-2723,IrO2,P4_2/mnm
IrO2_2723_POSCAR,18,6.0357418560,0.0150,0.0069,566.0658,15.4484,-1.0736372830848E-02,mp-2723,IrO2,P4_2/mnm
IrO2_2723_POSCAR,19,6.1945771680,0.0119,0.0054,566.0658,15.4491,-9.5815732101225E-03,mp-2723,IrO2,P4_2/mnm
IrO2_2723_POSCAR,20,6.3534124800,0.0095,0.0043,566.0658,15.4496,-8.5797306760134E-03,mp-2723,IrO2,P4_2/mnm
IrO2_2723_POSCAR,21,6.5122477920,0.0077,0.0035,566.0658,15.4499,-7.7002711489921E-03,mp-2723,IrO2,P4_2/mnm
IrO2_2723_POSCAR,22,6.6710831040,0.0063,0.0029,566.0658,15.4502,-6.9127555607902E-03,mp-2723,IrO2,P4_2/mnm
IrO2_2723_POSCAR,23,6.8299184160,0.0052,0.0024,566.0658,15.4504,-6.1964888547555E-03,mp-2723,IrO2,P4_2/mnm
IrO2_2723_POSCAR,24,6.9887537280,0.0043,0.0020,566.0658,15.4506,-5.5397266560338E-03,mp-2723,IrO2,P4_2/mnm
IrO2_2723_POSCAR,25,7.1475890400,0.0036,0.0017,566.0658,15.4507,-4.9379783770447E-03,mp-2723,IrO2,P4_2/mnm
IrO2_2723_POSCAR,26,7.3064243520,0.0031,0.0014,566.0658,15.4508,-4.3893431235137E-03,mp-2723,IrO2,P4_2/mnm
IrO2_2723_POSCAR,27,7.4652596640,0.0026,0.0012,566.0658,15.4509,-3.8941663378143E-03,mp-2723,IrO2,P4_2/mnm
IrO2_2723_POSCAR,28,7.6240949760,0.0023,0.0010,566.0658,15.4510,-3.4501124149378E-03,mp-2723,IrO2,P4_2/mnm
IrO2_2723_POSCAR,29,7.7829302880,0.0020,0.0009,566.0658,15.4510,-3.0548403698241E-03,mp-2723,IrO2,P4_2/mnm
